learning_rate,momentum,weight_decay,F1 Macro
0.1,0.01,0,"0,8324069065945496"
0.1,0.01,0.1,"0,7541667338872307"
0.1,0.01,0.01,"0,8259070318370744"
0.1,0.1,0,"0,833658822380627"
0.1,0.1,0.1,"0,7419342045118442"
0.1,0.1,0.01,"0,8377074053765784"
0.1,0.5,0,"0,8006449648466456"
0.1,0.5,0.1,"0,7608189728980838"
0.1,0.5,0.01,"0,8115825986414222"
0.1,0.9,0,"0,6418483379974064"
0.1,0.9,0.1,"0,5600715074399284"
0.1,0.9,0.01,"0,4105902936628551"
0.01,0.01,0,"0,3280620372052971"
0.01,0.01,0.1,"0,2887458209090088"
0.01,0.01,0.01,"0,3280620372052971"
0.01,0.1,0,"0,3030883859896046"
0.01,0.1,0.1,"0,2938337368845843"
0.01,0.1,0.01,"0,3030883859896046"
0.01,0.5,0,"0,3298448192836457"
0.01,0.5,0.1,"0,32121603886309774"
0.01,0.5,0.01,"0,3298448192836457"
0.01,0.9,0,"0,8329353283390549"
0.01,0.9,0.1,"0,7071771588364312"
0.01,0.9,0.01,"0,8216282464402765"
0.001,0.01,0,"0,0754266618928273"
0.001,0.01,0.1,"0,0754266618928273"
0.001,0.01,0.01,"0,0754266618928273"
0.001,0.1,0,"0,07554937368601965"
0.001,0.1,0.1,"0,0754266618928273"
0.001,0.1,0.01,"0,07554937368601965"
0.001,0.5,0,"0,10698174006444684"
0.001,0.5,0.1,"0,10698174006444684"
0.001,0.5,0.01,"0,10698174006444684"
0.001,0.9,0,"0,32226783433679984"
0.001,0.9,0.1,"0,3040485596557981"
0.001,0.9,0.01,"0,3032958010790523"
0.0001,0.01,0,"0,07131782945736433"
0.0001,0.01,0.1,"0,07131782945736433"
0.0001,0.01,0.01,"0,07131782945736433"
0.0001,0.1,0,"0,07131782945736433"
0.0001,0.1,0.1,"0,07131782945736433"
0.0001,0.1,0.01,"0,07131782945736433"
0.0001,0.5,0,"0,07131782945736433"
0.0001,0.5,0.1,"0,07131782945736433"
0.0001,0.5,0.01,"0,07131782945736433"
0.0001,0.9,0,"0,07614816261432802"
0.0001,0.9,0.1,"0,07614816261432802"
0.0001,0.9,0.01,"0,07614816261432802"
1e-05,0.01,0,"0,0719633307868602"
1e-05,0.01,0.1,"0,07199810156620788"
1e-05,0.01,0.01,"0,0719633307868602"
1e-05,0.1,0,"0,0719633307868602"
1e-05,0.1,0.1,"0,07199810156620788"
1e-05,0.1,0.01,"0,0719633307868602"
1e-05,0.5,0,"0,07131782945736433"
1e-05,0.5,0.1,"0,07131782945736433"
1e-05,0.5,0.01,"0,07131782945736433"
1e-05,0.9,0,"0,07131782945736433"
1e-05,0.9,0.1,"0,07131782945736433"
1e-05,0.9,0.01,"0,07131782945736433"
