Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),{},{},"0,3280866598838949"
(),{},{3: 0},"0,8462884734313307"
(),{},{4: 1},"0,7990157211209844"
(),{},"{3: 0, 4: 1}","0,8489244492023179"
(),{2: 0},{},"0,7773710375867945"
(),{2: 0},{3: 0},"0,8070140970140969"
(),{2: 0},{4: 1},"0,7869741088175105"
(),{2: 0},"{3: 0, 4: 1}","0,8378865854642253"
(),{3: 1},{},"0,7999825571254142"
(),{3: 1},{3: 0},"0,39690358902181566"
(),{3: 1},{4: 1},"0,7880454948777931"
(),{3: 1},"{3: 0, 4: 1}","0,8263091878881352"
(),{4: 2},{},"0,8039002027109889"
(),{4: 2},{3: 0},"0,8291365766194142"
(),{4: 2},{4: 1},"0,8124254032086178"
(),{4: 2},"{3: 0, 4: 1}","0,8164570040876662"
(),"{2: 0, 3: 1}",{},"0,785321441843181"
(),"{2: 0, 3: 1}",{3: 0},"0,7841154051353464"
(),"{2: 0, 3: 1}",{4: 1},"0,8190827833684977"
(),"{2: 0, 3: 1}","{3: 0, 4: 1}","0,7899023282481928"
(),"{2: 0, 4: 2}",{},"0,8409541586233316"
(),"{2: 0, 4: 2}",{3: 0},"0,7865345181134655"
(),"{2: 0, 4: 2}",{4: 1},"0,804987765857331"
(),"{2: 0, 4: 2}","{3: 0, 4: 1}","0,8207310484002213"
(),"{3: 1, 4: 2}",{},"0,7747622302509521"
(),"{3: 1, 4: 2}",{3: 0},"0,8154568062443072"
(),"{3: 1, 4: 2}",{4: 1},"0,8417953499523279"
(),"{3: 1, 4: 2}","{3: 0, 4: 1}","0,8345943911161303"
(),"{2: 0, 3: 1, 4: 2}",{},"0,8363447079236553"
(),"{2: 0, 3: 1, 4: 2}",{3: 0},"0,812070678073601"
(),"{2: 0, 3: 1, 4: 2}",{4: 1},"0,824386066053995"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,7950875867555159"
"(1,)",{},{},"0,28959842001316655"
"(1,)",{},{3: 0},"0,8281266102318734"
"(1,)",{},{4: 1},"0,8551593127369526"
