Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),{},{},"0,4779422440913124"
(),{},{3: 0},"0,7010353634520542"
(),{},{4: 1},"0,770807453416149"
(),{},{5: 2},"0,7616439217165171"
(),{},{6: 3},"0,6987083283027747"
(),{},"{3: 0, 4: 1}","0,823475939265413"
(),{},"{3: 0, 5: 2}","0,757666021921341"
(),{},"{3: 0, 6: 3}","0,8191836116851466"
(),{},"{4: 1, 5: 2}","0,6906627146695865"
(),{},"{4: 1, 6: 3}","0,81617438208998"
(),{},"{5: 2, 6: 3}","0,7692962592962594"
(),{},"{3: 0, 4: 1, 5: 2}","0,7424352858026327"
(),{},"{3: 0, 4: 1, 6: 3}","0,806173675948112"
(),{},"{3: 0, 5: 2, 6: 3}","0,8373376106295362"
(),{},"{4: 1, 5: 2, 6: 3}","0,7231789685571198"
(),{},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8159225468149953"
(),{2: 0},{},"0,5642099128941235"
(),{2: 0},{3: 0},"0,7409471480900053"
(),{2: 0},{4: 1},"0,7527705627705628"
(),{2: 0},{5: 2},"0,802659938586712"
(),{2: 0},{6: 3},"0,8461820787907745"
(),{2: 0},"{3: 0, 4: 1}","0,7643457038951408"
(),{2: 0},"{3: 0, 5: 2}","0,710300587923678"
(),{2: 0},"{3: 0, 6: 3}","0,7940004533375554"
(),{2: 0},"{4: 1, 5: 2}","0,8495348282533638"
(),{2: 0},"{4: 1, 6: 3}","0,7915065886494458"
(),{2: 0},"{5: 2, 6: 3}","0,8292298951532402"
(),{2: 0},"{3: 0, 4: 1, 5: 2}","0,7600414151674658"
(),{2: 0},"{3: 0, 4: 1, 6: 3}","0,8020486591915165"
(),{2: 0},"{3: 0, 5: 2, 6: 3}","0,8020070184522012"
(),{2: 0},"{4: 1, 5: 2, 6: 3}","0,8432564330079858"
(),{2: 0},"{3: 0, 4: 1, 5: 2, 6: 3}","0,7877292298344931"
(),{3: 1},{},"0,6074895029782247"
(),{3: 1},{3: 0},"0,7422412620699035"
(),{3: 1},{4: 1},"0,8214965986394558"
(),{3: 1},{5: 2},"0,7365889471152629"
(),{3: 1},{6: 3},"0,8102834744711175"
(),{3: 1},"{3: 0, 4: 1}","0,7692769219085009"
(),{3: 1},"{3: 0, 5: 2}","0,8000477383936031"
(),{3: 1},"{3: 0, 6: 3}","0,8049139647537817"
(),{3: 1},"{4: 1, 5: 2}","0,760687071213387"
(),{3: 1},"{4: 1, 6: 3}","0,7698097420786497"
(),{3: 1},"{5: 2, 6: 3}","0,7702692044797308"
(),{3: 1},"{3: 0, 4: 1, 5: 2}","0,8518257105213627"
(),{3: 1},"{3: 0, 4: 1, 6: 3}","0,8201564793130665"
(),{3: 1},"{3: 0, 5: 2, 6: 3}","0,8184396181290591"
(),{3: 1},"{4: 1, 5: 2, 6: 3}","0,7594116409905883"
(),{3: 1},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8167613363468857"
(),{4: 2},{},"0,140722049689441"
(),{4: 2},{3: 0},"0,7552391137098783"
(),{4: 2},{4: 1},"0,7533423333423334"
(),{4: 2},{5: 2},"0,8155211227397325"
(),{4: 2},{6: 3},"0,4948340337452504"
(),{4: 2},"{3: 0, 4: 1}","0,7223060094027834"
(),{4: 2},"{3: 0, 5: 2}","0,7581694049657436"
(),{4: 2},"{3: 0, 6: 3}","0,8524760517895531"
(),{4: 2},"{4: 1, 5: 2}","0,8430621163919149"
(),{4: 2},"{4: 1, 6: 3}","0,8048118548118548"
(),{4: 2},"{5: 2, 6: 3}","0,6279622471699302"
(),{4: 2},"{3: 0, 4: 1, 5: 2}","0,6937442341004545"
(),{4: 2},"{3: 0, 4: 1, 6: 3}","0,6830102198311028"
(),{4: 2},"{3: 0, 5: 2, 6: 3}","0,7888744227090092"
(),{4: 2},"{4: 1, 5: 2, 6: 3}","0,8209925412932932"
(),{4: 2},"{3: 0, 4: 1, 5: 2, 6: 3}","0,7849103014064652"
(),{5: 3},{},"0,4851112455468171"
(),{5: 3},{3: 0},"0,7632122263701211"
(),{5: 3},{4: 1},"0,7069671227672722"
(),{5: 3},{5: 2},"0,7016255470497567"
(),{5: 3},{6: 3},"0,7122363117825913"
(),{5: 3},"{3: 0, 4: 1}","0,8251463639335493"
(),{5: 3},"{3: 0, 5: 2}","0,8279568384831543"
(),{5: 3},"{3: 0, 6: 3}","0,859139073337485"
(),{5: 3},"{4: 1, 5: 2}","0,7932754884503821"
(),{5: 3},"{4: 1, 6: 3}","0,7781203007518797"
(),{5: 3},"{5: 2, 6: 3}","0,7384817563388991"
(),{5: 3},"{3: 0, 4: 1, 5: 2}","0,717907991961288"
(),{5: 3},"{3: 0, 4: 1, 6: 3}","0,7819363482069944"
(),{5: 3},"{3: 0, 5: 2, 6: 3}","0,8418393201001898"
(),{5: 3},"{4: 1, 5: 2, 6: 3}","0,6784459238240751"
(),{5: 3},"{3: 0, 4: 1, 5: 2, 6: 3}","0,8681012159794481"
(),{6: 4},{},"0,6114515371365937"
(),{6: 4},{3: 0},"0,7847883945628308"
(),{6: 4},{4: 1},"0,88603371783496"
(),{6: 4},{5: 2},"0,7858492508737951"
(),{6: 4},{6: 3},"0,6291282059228271"
(),{6: 4},"{3: 0, 4: 1}","0,7498622096366457"
(),{6: 4},"{3: 0, 5: 2}","0,8047739857042183"
(),{6: 4},"{3: 0, 6: 3}","0,8267660660141863"
(),{6: 4},"{4: 1, 5: 2}","0,8368850826273452"
(),{6: 4},"{4: 1, 6: 3}","0,819868640234773"
(),{6: 4},"{5: 2, 6: 3}","0,7680870287688142"
(),{6: 4},"{3: 0, 4: 1, 5: 2}","0,7509538080966652"
(),{6: 4},"{3: 0, 4: 1, 6: 3}","0,7380952380952381"
(),{6: 4},"{3: 0, 5: 2, 6: 3}","0,8406219177647749"
(),{6: 4},"{4: 1, 5: 2, 6: 3}","0,7916041673586431"
(),{6: 4},"{3: 0, 4: 1, 5: 2, 6: 3}","0,832051670678673"
(),"{2: 0, 3: 1}",{},"0,739142942971709"
(),"{2: 0, 3: 1}",{3: 0},"0,7290522452013135"
(),"{2: 0, 3: 1}",{4: 1},"0,7042745669696451"
(),"{2: 0, 3: 1}",{5: 2},"0,8406562991329255"
(),"{2: 0, 3: 1}",{6: 3},"0,7787061569495835"
(),"{2: 0, 3: 1}","{3: 0, 4: 1}","0,7731027518826176"
(),"{2: 0, 3: 1}","{3: 0, 5: 2}","0,806854256854257"
(),"{2: 0, 3: 1}","{3: 0, 6: 3}","0,8293135435992578"
(),"{2: 0, 3: 1}","{4: 1, 5: 2}","0,7346616868378986"
(),"{2: 0, 3: 1}","{4: 1, 6: 3}","0,7953494124922695"
(),"{2: 0, 3: 1}","{5: 2, 6: 3}","0,7037373333666391"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 5: 2}","0,813600597688725"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 6: 3}","0,8476263232565754"
(),"{2: 0, 3: 1}","{3: 0, 5: 2, 6: 3}","0,817686073325171"
(),"{2: 0, 3: 1}","{4: 1, 5: 2, 6: 3}","0,7440626777026599"
(),"{2: 0, 3: 1}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8286708395732875"
(),"{2: 0, 4: 2}",{},"0,6694479265907837"
